1384,HARAKAT UL-MUJAHIDEEN,,Harakat Ul-Mujahideen,B&F&2&8&B$$$$$$2&Y&3&~$$$$$,TERRORISM,,,,.,.,
1395,AL-TIKRITI,Saddam Hussein,Saddam Hussein Al-Tikriti,&W~&3Y&~7$$$$$$4&8&B$$$$$$$,POLITICAL INDIVIDUAL,,PEP,Former State President,.,1937:04:00,"al-Awja, near Tikrit, Iraq"
1438,REAL IRA,,Real Ira,Y&W$$$$$$$$$$$$$$$$$$$$$$$$,TERRORISM,,,,.,.,
1478,AL-TAI,Sultan Hashim Ahmad,Sultan Hashim Ahmad Al-Tai,&W~&7$$$$$$$$$$4&W~&B$$$$$$,POLITICAL INDIVIDUAL,Lieutenant General,PEP,Minister of Defense,.,1944:00:00,"Mosul, Iraq; Alt. Mosul"
1489,WALI MOHAMMAD,Abdul Jalil Haqqani,Abdul Jalil Haqqani Wali Mohammad,B&2&B&8$$$$$$$$&M8#$$$$$$$$,TERRORISM,Maulavi,PEP,Deputy Minister of Foreign Affairs under the Taliban regime,.,1963:00:00,"Khwaja Malik village,Arghandab District,Kandahar Province,Afghanistan; Kandahar City,Kandahar Province, Afghanistan; Khwaia Malik village,Arghandab District,Kandahar Province,Afghanistan; Logar, Afghanistan"
1734,KURDISTAN WORKERS' PARTY,,Kurdistan Workers' Party,N&Y~7$$$$$$$$$$3&Y8&4~$$$$$,TERRORISM,,,,.,.,
1980,MA'RUF,Taha Muhyi-al-Din,Taha Muhyi-Al-Din Ma'Ruf,Y&M$$$$$$$$$$$$~&2&B&$$$$$$,POLITICAL INDIVIDUAL,,PEP,Vice-President (Revolutionary Command Council),.,1924:00:00,"Sulaymaniyah, Iraq; Alt. POB Sulaymaniyah"
2002,MATVIYENKO,Valentina Ivanovna,Valentina Ivanovna Matviyenko,B&~M&&&B3@$$$$$V&W$$$$$$$$$,POLITICAL INDIVIDUAL,,PEP,Speaker of the Federation Council,.,1949:04:00,"Shepetovka, Khmelnitsky, Ukraine; Shepetovka, Khmelnytsky Region, Ukraine; Shepetovka, Khmelnitskyi oblast (Ukrainian SSR); Tyutina; Shepetovka, Kamenets-Podolsky region, (Ukrainian SSR); Shepetovka, Khmelnitsky region, (Ukrainian SSR)"
2214,AL-MOALLEM,Walid,Walid Al-Moallem,&WB&&W&B$$$$$$$L&W&8$$$$$$$,POLITICAL INDIVIDUAL,,PEP,Foreign and Expatriates Minister,.,1941:00:00,"Damascus, Syria"
2216,MUBARAK,Mohamed Hosni Elsayed,Mohamed Hosni Elsayed Mubarak,B&M&Y&3$$$$$$$$B&2&B&8$$$$$,CRIME - FINANCIAL,,PEP,Former State President,.,1928:05:00,"Kafr-al Musailha, Al-Menoufiyah Governorate, Egypt"
2221,MUGABE,Robert Gabriel,Robert Gabriel Mugabe,B&F&M$$$$$$$$$$M@M$$$$$$$$$,POLITICAL INDIVIDUAL,,PEP,State President,.,1924:02:00,"Kutama Mission, Zimbabwe"
2310,NAUMAU,Uladzimir Uladzimiravich,Uladzimir Uladzimiravich Naumau,P&&B&#$$$$$$$$$#W&84&B$$$$$,POLITICAL INDIVIDUAL,Lieutenant General (Ret),PEP,Minister of the Interior,.,1956:00:00,"Smolensk; Smolensk (Russia); Smolensk, Russian Federation; Smolensk, Russia"
2491,ORANGE VOLUNTEERS,,Orange Volunteers,V&W&B~&Y$$$$$$$#Y&BF$$$$$$$,TERRORISM,,,,.,.,
2603,POPULAR FRONT FOR THE LIBERATION OF PALESTINE,,Popular Front For The Liberation Of Palestine,N&M&W&Y$$$$$$$$N&W&4~&$$$$$,TERRORISM,,,,.,.,
2611,PALESTINE ISLAMIC JIHAD - SHAQAQI FACTION,,Palestine Islamic Jihad - Shaqaqi Faction,G&3~&&B$$$$$$$$N&W&4~&$$$$$,TERRORISM,,,,.,.,
2695,QADHAFI,Muammar,Muammar Qadhafi,F&8&M7$$$$$$$$$B&&B&Y$$$$$$,POLITICAL INDIVIDUAL,Colonel,PEP,Leader of the Revolution,.,1942:00:00,"Wade Garf, Sirte, Libya; Sirte, Libya"
2736,AL-JIZRAWI,Taha Yassin Ramadan,Taha Yassin Ramadan Al-Jizrawi,&WF&4Y&&7$$$$$$~&2&$$$$$$$$,POLITICAL INDIVIDUAL,,PEP,Former Vice-President,.,1938:00:00,"Mosul, Iraq; Mosul"
2766,RED HAND DEFENDERS,,Red Hand Defenders,8&M&B8&Y$$$$$$$Y&8$$$$$$$$$,TERRORISM,,,,.,.,
2901,AL-SALIH,Muhammad Mahdi,Muhammad Mahdi Al-Salih,&W4&W7$$$$$$$$$B&2&B&8$$$$$,POLITICAL INDIVIDUAL,,PEP,Former Cabinet Minister,.,1947:00:00,"al-Anbar Governorate, Iraq; al-Anbar Governate"
2902,SALEH,Ali Abdullah,Ali Abdullah Saleh,4&W$$$$$$$$$$$$&W7$$$$$$$$$,POLITICAL INDIVIDUAL,Field Marshal,PEP,President of Yemen's General People's Congress party,.,1945:03:00,"Bayt al-Ahmar, Sana'a Governorate, Yemen; Sana'a, Yemen; Bayt al-Ahmar, Yemen; Sana'a, Sanhan, Al-Rib' al-Sharqi; Bayt al-Ahmar, Sanaa Governorate; Sana'a; Sana'a, Sanhan, Al-Rib' al-Sharqi, Yemen"
3007,SHINING PATH,,Shining Path,N&~2$$$$$$$$$$$42&B&BF$$$$$,TERRORISM,,,,.,.,
3034,AL-SHARA,Farouk,Farouk Al-Shara,&W42&Y&$$$$$$$$G&Y&&3$$$$$$,POLITICAL INDIVIDUAL,Dr,PEP,Vice-President of Syria,.,1938:00:00,"Dar'a, Syria"
3219,LIBERATION TIGERS OF TAMIL EELAM,,Liberation Tigers Of Tamil Eelam,~&F&Y$$$$$$$$$$W&M&Y&~$$$$$,TERRORISM,,,,.,.,
3274,AL-TIKRITI,Barzan Ibrahim Hassan,Barzan Ibrahim Hassan Al-Tikriti,&W~&3Y&~7$$$$$$M&Y4&B$$$$$$,POLITICAL INDIVIDUAL,,PEP,Presidential Advisor,.,1951:02:00,"Tikrit, Iraq; Tikrit"
3363,AL-UBAIDI,Amir Rashid Muhammad,Amir Rashid Muhammad Al-Ubaidi,&W&M&&87$$$$$$$&B&Y&42$$$$$,POLITICAL INDIVIDUAL,,PEP,Former Cabinet Minister,.,1939:00:00,"Baghdad, Iraq; Baghdad"
3640,ZUBAIDI,Muhammad Hamza,Muhammad Hamza Zubaidi,4&M&&87$$$$$$$$B&2&B&8$$$$$,POLITICAL INDIVIDUAL,,PEP,Former Prime Minister,.,1938:00:00,"Babylon, Babil Governorate, Iraq; Babylon, Babil; Babylon, Babil, Iraq"
3969,BIN LADIN,Usama bin Muhammad bin Awad,Usama Bin Muhammad Bin Awad Bin Ladin,W&8&B$$$$$$$$$$#4&B&$$$$$$$,TERRORISM,Shaykh,,,.,1957:07:00,"Jeddah, Saudi Arabia; alt POB Yemen"
5289,KIM,Yong-chun,Yong-Chun Kim,3&B$$$$$$$$$$$$#BFJ2&B$$$$$,POLITICAL INDIVIDUAL,Vice Marshall,PEP,Deputy Chairman of the National Defence Commission,.,1935:03:00,"Pyongyang, North Korea"
5305,PYON,Yong Rip,Yong Rip Pyon,N&&B$$$$$$$$$$$#BF$$$$$$$$$,POLITICAL INDIVIDUAL,,PEP,President of the Academy of Science,.,1929:09:00,
6275,BEN ALI,Zine El Abidine Ben Haj Hamda Ben Haj Hassen,Zine El Abidine Ben Haj Hamda Ben Haj Hassen Ben Ali,&W7$$$$$$$$$$$$4&B$$$$$$$$$,CRIME - FINANCIAL,,PEP,Ex-president of Tunisia,.,1936:09:00,"Hammam-Sousse, Tunisia; Hammam-Sousse; Hammam Sousse, Tunisia"
7242,AL-MASRI,Abu Hafs,Abu Hafs Al-Masri,&WB&4Y7$$$$$$$$&M#$$$$$$$$$,TERRORISM,Sheik,,,.,1951:00:00,"Alexandria, Egypt; alt POB El Behira, Egypt; alt POB Menoufya, Egypt"
7246,AL QA'IDA,,Al Qa'Ida,&W$$$$$$$$$$$$$Q$$$$$$$$$$$,TERRORISM,,,,.,.,
7258,OMAR,Mohammed,Mohammed Omar,#B&Y$$$$$$$$$$$B&2&B&8$$$$$,TERRORISM,Mullah,PEP,"Leader of the Faithful ('Amir ul-Mumineen'), Afghanistan",.,1950:00:00,"Uruzgan province, Adehrawood Village;Hotak, Kandahar Province, Afghanistan; Naw Deh village, Deh Rawud District, Uruzgan Province, Afghanistan; Noori village, Maiwand District, Kandahar Province, Afghanistan"
7272,IRAQI AIRWAYS COMPANY,,Iraqi Airways Company,&&YL&$$$$$$$$$$&Y&37$$$$$$$,CORPORATE,,PEP,,.,.,
7277,RAFIDAIN BANK,,Rafidain Bank,M&B3$$$$$$$$$$$Y&M&8&&$$$$$,BANK,,PEP,,.,.,
7284,IRAQI AIRWAYS COMPANY,,Iraqi Airways Company,&&YL&$$$$$$$$$$&Y&37$$$$$$$,CORPORATE,,,,.,.,
7304,ABU NIDAL ORGANIZATION,,Abu Nidal Organization,#YF&B&4&~&$$$$$&M#$$$$$$$$$,TERRORISM,,,,.,.,
7305,ABU SAYYAF GROUP,,Abu Sayyaf Group,4&&&M$$$$$$$$$$&M#$$$$$$$$$,TERRORISM,,,,.,.,
7633,MOTAQI,Amir Khan,Amir Khan Motaqi,B&~&37$$$$$$$$$&B&Y$$$$$$$$,TERRORISM,Mullah,PEP,Minister of Education under the Taliban regime,.,1968:00:00,"Zurmat District, Paktia Province, Afghanistan; Shin Kalai village, Nad-e-Ali District, Helmand Province, Afghanistan; Helmand province, Afghanistan"
8646,BIN MARWAN,Bilal,Bilal Bin Marwan,B&YL&B$$$$$$$$$M&W&W$$$$$$$,TERRORISM,,,,.,1947:00:00,"Mecca, Saudi Arabia"
9467,AL-FAWAZ,Khalid Abd al-Rahman Hamd,Khalid Abd Al-Rahman Hamd Al-Fawaz,G&L&4$$$$$$$$$$3&W&8$$$$$$$,TERRORISM,,,,.,1962:08:00,"Kuwait; London, United Kingdom"
9511,SHAMANOV,Vladimir Anatolievich,Vladimir Anatolievich Shamanov,42&B&B&M$$$$$$$VW&87B7$$$$$,MILITARY,Colonel General,PEP,Colonel-General,.,1954:02:00,"Barnaul, Russian Federation; Barnaul"
11027,JAMAL,Qudratullah,Qudratullah Jamal,C&B&W$$$$$$$$$$3L8Y&~&$$$$$,TERRORISM,Maulavi,PEP,Minister of Information under the Taliban regime,.,1963:00:00,"Paktia, Afghanistan; alt POB Gardez, Paktia Province, Afghanistan; Gardez, Paktika Province, Afghanistan"
11047,PATRUSHEV,Nikolai Platonovich,Nikolai Platonovich Patrushev,N&~Y&42&M$$$$$$P73$$$$$$$$$,POLITICAL INDIVIDUAL,,PEP,Secretary of the Security Council of the Russian Federation,.,1951:07:00,"Leningrad (St Petersburg); Leningrad (St Petersburg), Russian Federation; St. Petersburg; St. Petersburg (f.k.a. Leningrad)"
11314,ZHIRINOVSKY,Vladimir Volfovich,Vladimir Volfovich Zhirinovsky,4&Y&B&M437$$$$$VW&87B7$$$$$,POLITICAL INDIVIDUAL,Prof Dr,PEP,Member of the Council of the State Duma and leader of the LDPR party,.,1946:04:00,"Almaty, Kazakhstan; Eidelshtein, Kasakhstan; Eidelshtein, Kazakhstan; Almaty (formerly also known as Alma- Ata), Kazakhstan; Eidelshtein, Almaty (formerly also known as Alma- Ata), Kazakhstan; Alma-Ata, Kazakh SSR; Almaty, Kazakh SSR, Kazakhstan"
11446,AL ZAWAHIRI,Dr Ayman,Dr Ayman Al Zawahiri,&W4&L&2&Y7$$$$$&&B&B$$$$$$$,TERRORISM,Doctor,PEP,Operational and Military Leader of JIHAD GROUP,.,1951:06:00,"Giza, Egypt; Cairo, Egypt"
11454,AL-ARABI TRADING COMPANY LIMITED,,Al-Arabi Trading Company Limited,&W&Y&M7$$$$$$$$$$$$$$$$$$$$,CORPORATE,,,,.,.,
11465,AL-DULAIMI,Khalaf,Khalaf Al-Dulaimi,&W8&W&&B7$$$$$$3&W&M$$$$$$$,TERRORISM,,,,.,1932:01:00,"Al Anbar, Iraq"
11476,AL-TIKRITI,Watban Ibrahim Hassan,Watban Ibrahim Hassan Al-Tikriti,&W~&3Y&~7$$$$$$L&~M&B$$$$$$,POLITICAL INDIVIDUAL,,PEP,Presidential Advisor,.,1952:00:00,"Tikrit, Iraq; Tikrit"
11494,AL-TIKRITI,Ali Hassan al-Majid,Ali Hassan Al-Majid Al-Tikriti,&W~&3Y&~7$$$$$$&W7$$$$$$$$$,POLITICAL INDIVIDUAL,General,PEP,Presidential Advisor,.,1943:00:00,"al-Awja, near Tikrit, Iraq"
11507,RASHEED BANK,,Rasheed Bank,M&B3$$$$$$$$$$$Y&42&8$$$$$$,BANK,,,,.,.,
11518,AL-TIKRITI,Sab'awi Ibrahim Hassan,Sab'Awi Ibrahim Hassan Al-Tikriti,&W~&3Y&~7$$$$$$4&M&&7$$$$$$,POLITICAL INDIVIDUAL,,PEP,Presidential Advisor,.,1947:00:00,"Tikrit, Iraq; Alt POB Tikrit"
13072,ROGOZIN,Dmitry Olegovich,Dmitry Olegovich Rogozin,Y&F&4&B$$$$$$$$8B&~Y7$$$$$$,POLITICAL INDIVIDUAL,Dr,PEP,Deputy Prime Minister of the Russian Federation,.,1963:12:00,"Moscow, Russia; alt. POB Moscow, Moscow Region, Russian Federation; Moscow"
13676,ABDULLAH,Abdullah Ahmed,Abdullah Ahmed Abdullah,&M8&W&$$$$$$$$$&M8&W&$$$$$$,TERRORISM,,,,.,1963:00:00,"Gharbia, Egypt"
13677,AL-ADL,Sayf,Sayf Al-Adl,&W&8W$$$$$$$$$$4&&M$$$$$$$$,TERRORISM,Colonel,,,.,1963:00:00,Egypt
13678,ALI,Ahmed Mohammed Hamed,Ahmed Mohammed Hamed Ali,&W7$$$$$$$$$$$$&2B_$$$$$$$$,TERRORISM,,,,.,1965:00:00,"Egypt; alt POB Badari, Asyout, Egypt"
13679,AL-LIBY,Anas,Anas Al-Liby,&W&M7$$$$$$$$$$&B&$$$$$$$$$,TERRORISM,,,,.,1964:03:00,"Tripoli, Libya; Tripoli, Libyan Arab Jamahiriya"
13681,ATWAH,Muhsin Musa Matwalli,Muhsin Musa Matwalli Atwah,&~L&$$$$$$$$$$$B&4&B$$$$$$$,TERRORISM,,,,.,1964:06:00,"Egypt; alt POB Dakahliya, Egypt"
13682,FADHIL,Mustafa Mohamed,Mustafa Mohamed Fadhil,G&8&W$$$$$$$$$$B&4~&M&$$$$$,TERRORISM,,,,.,1976:06:00,"Cairo, Egypt; Kairo, Egypt"
13683,GHAILANI,Ahmed Khalfan,Ahmed Khalfan Ghailani,F&&W&B7$$$$$$$$&2B_$$$$$$$$,TERRORISM,,,,.,1974:03:00,"Zanzibar, Tanzania"
13684,MOHAMMED,Fazul Abdullah,Fazul Abdullah Mohammed,B&2&B&8$$$$$$$$G&4&W$$$$$$$,TERRORISM,,,,.,1972:08:00,"Moroni, Comoros Islands"
13685,MSALAM,Fahid Mohammed Ally,Fahid Mohammed Ally Msalam,B4&W&B$$$$$$$$$G&2&8$$$$$$$,TERRORISM,,,,.,1976:02:00,"Mombasa, Kenya"
13686,SWEDAN,Sheikh Ahmed Salim,Sheikh Ahmed Salim Swedan,4L&8&B$$$$$$$$$&2B_$$$$$$$$,TERRORISM,Sheikh,,,.,1969:04:00,"Mombasa, Kenya; Alt POB: Mombassa, Kenya"
14263,TKACHYOV,Alexander Nikolayevich,Alexander Nikolayevich Tkachyov,~3&J2&&M$$$$$$$&W_X$$$$$$$$,POLITICAL INDIVIDUAL,,PEP,Minister of Agriculture of the Russian Federation,.,1960:12:00,"Vyselki; Vyselki, Krasnodar Territory, Russian Federation; Vyselki, Krasnodar region; Vyselki, Krasnodar Region"
14310,KOBZON,Iosif Davydovich,Iosif Davydovich Kobzon,3&M4&B$$$$$$$$$&&4&M$$$$$$$,POLITICAL INDIVIDUAL,Prof Dr,PEP,Member of the State Duma,.,1937:09:00,"Chasov Yar, Donetsk Region, Ukraine; Tchassov Yar, Ukraine"
14353,RYZHKOV,Nikolai Ivanovich,Nikolai Ivanovich Ryzhkov,Y&43&M$$$$$$$$$P73$$$$$$$$$,POLITICAL INDIVIDUAL,,PEP,"Member of Committee for Federal Issues, Regional Politics and the North of the Federation Council of the Russian Federation",.,1929:09:00,"Duleevka, Donetsk Region, Ukraine; Village Dyleyevka, Donetsk Region, Ukraine; Duleevka, Donetsk region, Ukrainian SSR; Dyleevka, Donetsk region, Ukrainian SSR; Dyleevka, Donetsk Region, Ukraine"
14383,NEVEROV,Sergei Ivanovich,Sergei Ivanovich Neverov,P&M&Y&M$$$$$$$$4&YF&7$$$$$$,POLITICAL INDIVIDUAL,,PEP,Deputy Chairman of the State Duma of the Russian Federation,.,1961:12:00,"Tashtagol, Russia; Tashtagol, Kemerovo region, Russian Federation; Tashtagol, USSR; Tashtagol, Russian Federation"
14412,RASHKIN,Valery Fedorovich,Valery Fedorovich Rashkin,Y&423&B$$$$$$$$V&W$$$$$$$$$,POLITICAL INDIVIDUAL,,PEP,First Deputy Chairman of the State Duma Committee on Ethnicity issues,.,1955:03:00,"Village Zhilino, Kaliningrad Region, Russian Federation; Zhilino, Kaliningrad Region; Kaliningrad Oblast, USSR; Kaliningrad Oblast, Soviet Union; Kaliningrad, URSS; Zhilino, Kaliningrad region"
18178,TABACHNYK,Dmytro Volodymyrovych,Dmytro Volodymyrovych Tabachnyk,~&M&J2B&3$$$$$$8B&~Y@$$$$$$,POLITICAL INDIVIDUAL,,PEP,Former Minister of Education and Science,.,1963:11:00,Kiev
18306,PALACIOS ALDAY,Gorka,Gorka Palacios Alday,&W8&$$$$$$$$$$$F&Y3&$$$$$$$,TERRORISM,,,,.,1974:10:00,"Baracaldo, Vizcaya Province, Spain; alt POB Baracaldo (Biscay), Spain; alt POB Baracaldo, Biscay, Spain; Baracaldo Vizcaya Province, Spain"
18310,MORCILLO TORRES,Gracia,Gracia Morcillo Torres,~&Y$$$$$$$$$$$$FY&4&&$$$$$$,TERRORISM,,,,.,1967:03:00,"San Sebastian, Guipuzcoa Province, Spain; alt POB San Sebastián, Guipúzcoa, Spain; San Sebastian (Guipuzcoa), Spain"
18330,RUBENACH ROIG,Juan Luis,Juan Luis Rubenach Roig,Y&&F$$$$$$$$$$$C&&B$$$$$$$$,TERRORISM,,,,.,1964:09:00,"Bilbao, Vizcaya Province, Spain; alt POB Bilbao (Biscay), Spain; alt POB Bilbao, Biscay, Spain"
19180,FRADKOV,Mikhail Efimovich,Mikhail Efimovich Fradkov,GY&83&M$$$$$$$$B&3&&W$$$$$$,INDIVIDUAL,,PEP,Director of the Foreign Intelligence Service of the Russian Federation,.,1950:09:00,"Kurumoch, Kuibyshev region; Kurumoch, Samara region, Russian Federation"
19182,GRYZLOV,Boris Vyacheslavovich,Boris Vyacheslavovich Gryzlov,FY&4W&M$$$$$$$$M&Y7$$$$$$$$,POLITICAL INDIVIDUAL,,PEP,Senior Official - SOE,.,1950:12:00,"Vladivostok; Vladivostok, Primorskiy Territory, Russian Federation"
19379,BENGOECHEA,Jose Antonio Urruticoechea,Jose Antonio Urruticoechea Bengoechea,M&BF&&J2&&$$$$$C&4$$$$$$$$$,TERRORISM,,,,.,1950:12:00,"Miravalles, Vizcaya, Spain;alt POB Miravalles, Biscay, Spain;alt POB Miravalles, Spain"
19381,IPARRAGUIRRE GUENECHEA,Maria Soledad,Maria Soledad Iparraguirre Guenechea,F&&B&J2&&$$$$$$B&YR$$$$$$$$,TERRORISM,,,,.,1961:04:00,"Escoriaza, Guipuzcoa Province, Spain; alt POB Escoriaza, Navarra, Spain; Escoriaza (Guipuzcoa), Spain"
20312,ESSID,Sami Ben Khemais,Sami Ben Khemais Essid,&4&8$$$$$$$$$$$4&B$$$$$$$$$,TERRORISM,,,,.,1968:02:00,"Menzel Jemil, Bizerte, Tunisia; Menzel Jemil Bizerte, Tunisia"
20313,KAMMOUN,Mehdi,Mehdi Kammoun,3&B&&B$$$$$$$$$B&287$$$$$$$,TERRORISM,,,,.,1968:04:00,"Tunis, Tunisia"
20314,BOUCHOUCHA,Mokhtar,Mokhtar Bouchoucha,M&&J2&&J2&$$$$$B&3~&Y$$$$$$,TERRORISM,,,,.,1969:10:00,"Tunis, Tunisia"
20315,BEN SOLTANE,Adel,Adel Ben Soltane,4&W~&B$$$$$$$$$&8_W$$$$$$$$,TERRORISM,,,,.,1970:07:00,"Tunis, Tunisia"
20316,CHARAABI,Tarek,Tarek Charaabi,J2&Y&M7$$$$$$$$~&Y&3$$$$$$$,TERRORISM,,,,.,1970:03:00,"Tunis, Tunisia"
20600,MBARUSHIMANA,Callixte,Callixte Mbarushimana,BM&Y&42&B&$$$$$3&W&X~$$$$$$,TERRORISM,,,Executive Secretary of FDLR,.,1963:07:00,"Ndusu, Ruhengeri, Rwanda; Ndusu/Ruhengeri Northern Province, Rwanda; Ndusu/Ruhengeri, Northern Province, Rwanda"
24105,POPULAR FRONT FOR THE LIBERATION OF PALESTINE - GENERAL COMMAND,,Popular Front For The Liberation Of Palestine - General Command,N&M&W&Y$$$$$$$$GY&B~$$$$$$$,TERRORISM,,,,.,.,
27541,GADDAFI,Saadi,Saadi Gaddafi,F&8&M7$$$$$$$$$4&87$$$$$$$$,INDIVIDUAL,Commander,PEP,Commander of Special Forces,.,1973:05:00,"Tripoli, Libya"
28448,ECHEBERRIA SIMARRO,Leire,Leire Echeberria Simarro,4&B&Y@$$$$$$$$$W&Y$$$$$$$$$,TERRORISM,,,,.,1977:12:00,"Basauri, Vizcaya Province, Spain; alt POBs Basauri, Biscay; Basauri, Biscay, Spain; Basauri, Spain"
28775,MUGABE,Grace,Grace Mugabe,B&F&M$$$$$$$$$$FY&4$$$$$$$$,INDIVIDUAL,,PEP,Party Official,.,1965:07:00,"South Africa; Chivhu, Zimbabwe"
28966,JANJALANI,Khadafi Abubakar,Khadafi Abubakar Janjalani,C&BF&W&B7$$$$$$3&8&M7$$$$$$,TERRORISM,,,,.,1975:03:00,"Isabela, Basilan, Philippines"
29751,REVOLUTIONARY PEOPLE'S STRUGGLE,,Revolutionary People'S Struggle,4~Y&FW$$$$$$$$$Y&M&W&~$$$$$,TERRORISM,,,,.,.,
34618,TECHNOLOGY AND DEVELOPMENT GROUP LTD,,Technology And Development Group Ltd,~&J2B&W&F7$$$$$$$$$$$$$$$$$,CORPORATE,,PEP,,.,.,
34658,T M G ENGINEERING LIMITED,,T M G Engineering Limited,&BF&B&Y&BF$$$$$~$$$$$$$$$$$,CORPORATE,,PEP,,.,.,
38363,VOLODIN,Vyacheslav,Vyacheslav Volodin,V&W&8&B$$$$$$$$V&&J2&4$$$$$,POLITICAL INDIVIDUAL,Prof Dr,PEP,First Deputy Chief of Staff of the Presidential Executive Office,.,1964:02:00,"Alexeyevka, Khvalynsk district, Saratov, Russia; alt. POB Alekseevka, Saratov Region, Russian Federation; Alekseevka, Saratov region"
38376,NOMANI,Hamdullah,Hamdullah Nomani,2&B8&W&$$$$$$$$P&B&B7$$$$$$,TERRORISM,Maulavi,PEP,Minister of Higher Education under the Taliban regime,.,1968:00:00,"Sipayaw village, Andar District, Ghazni Province, Afghanistan; Ghazni province, Afghanistan"
38378,OMARI,Mohammad Ibrahim,Mohammad Ibrahim Omari,#B&Y7$$$$$$$$$$B&2&B&8$$$$$,TERRORISM,Alhaj,PEP,Deputy Minister of Frontier Affairs under the Taliban regime,.,1958:00:00,"Zadran valley, Khost province, Afghanistan; Zadran valley, Khostprovince, Afghanistan; Garda Saray, Waza Zadran District, Paktia Province; Garda Saray, Waza Zadran District, Paktia Province, Afghanistan"
38379,MOTMAEN,Abdulhai,Abdulhai Motmaen,B&~B&&B$$$$$$$$&M8&W&7$$$$$,TERRORISM,Maulavi,PEP,Director of the Information and Culture Department in Kandahar Province under the Taliban regime,.,1973:00:00,"Zabul province, Afghanistan; Shinkalai village, Nad-e-Ali District, Helmand Province, Afghanistan; Zabul Province, Afghanistan"
